,Quarter end,Shares,Shares split adjusted,Split factor,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Non-controlling interest,Preferred equity,Goodwill & intangibles,Long-term debt,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Dividend per share,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Capital expenditures,Price,Price high,Price low,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Dividend payout ratio,Long-term debt to equity ratio,Equity to assets ratio,Net margin,Asset turnover,Free cash flow per share,Current ratio,ticker
34,2010-09-26,238928204,238928204,1,6865309000,1060439000,4596655000,902178000,2023600000,245054000,0,3387207000,2419633000,1312335000,101409000,101409000,0.43,0.42,0.04,242264000,-6215000,-221575000,15224000,172432000,16973000,13.54,15.11,11.98,0.3029,0.0787,8.47,1.7,6.24,14.65,0.0696,1.1957,0.2948,0.0998,0.79,0.94,1.1754,TGNA
35,2010-06-27,238569572,238569572,1,6845886000,999151000,4721424000,805327000,1897348000,227114000,0,3383810000,2630035000,1365143000,195478000,195478000,0.82,0.81,0.04,149232000,86531000,-182127000,53060000,157208000,11021000,16.2,18.67,13.73,0.3158,0.0735,7.95,2.27,9.76,14.61,0.0731,1.3862,0.2772,0.0943,0.78,0.58,1.2407,TGNA
36,2010-03-28,238171891,238171891,1,6956721000,1012183000,5032912000,900450000,1702390000,221419000,0,3398547000,2801459000,1322405000,117179000,117179000,0.49,0.49,0.04,292187000,-15731000,-270855000,5353000,104148000,8879000,15.39,17.25,13.53,0.2634,0.0547,7.15,2.28,10.19,14.57,0.0959,1.6456,0.2447,0.071,0.77,1.19,1.1241,TGNA
37,2009-12-27,237356592,237356592,1,7148432000,1049042000,5322653000,900103000,1603925000,221854000,0,3419857000,3061951000,1485339000,133288000,133288000,0.57,0.56,0.04,248746000,-11459000,-261426000,-24974000,98795000,21985000,12.7,15.63,9.76,0.2611,0.0475,6.76,2.17,None,14.53,0.1059,1.909,0.2244,0.0633,0.75,0.96,1.1655,TGNA
38,2009-09-27,236236708,236236708,1,7318572000,1000301000,5725646000,925962000,1378581000,214345000,0,3450601000,3312856000,1336583000,73752000,73752000,0.31,0.31,0.04,221118000,3595000,-206386000,19401000,123769000,12538000,6.66,10.14,3.18,None,-0.5863,5.84,1.2,None,14.49,None,2.4031,0.1884,None,0.77,0.88,1.0803,TGNA
39,2009-06-28,234751324,234751324,1,7422053000,999860000,5911952000,903568000,1307941000,202160000,0,3464839000,3508634000,1412593000,70481000,70481000,0.3,0.3,0.04,220668000,-12095000,-753880000,-544687000,104368000,14336000,3.84,5.48,2.2,None,-0.4797,5.57,0.77,None,14.46,None,2.6826,0.1762,None,0.67,0.88,1.1066,TGNA
40,2009-03-29,232435091,232435091,1,8058139000,1606318000,6716999000,1487985000,1152198000,188942000,0,3443238000,3731951000,1378478000,77749000,77749000,0.34,0.34,0.04,176048000,-14664000,388879000,550106000,649055000,18878000,5.63,9.3,1.95,None,-0.6342,4.96,1.22,None,14.42,None,3.239,0.14300000000000002,None,0.61,0.68,1.0795,TGNA
41,2008-12-28,228409277,228409277,1,7796814000,1245944000,6531188000,1153141000,1055882000,209744000,0,3455579000,3816942000,1735482000,-4706644000,-4706644000,-20.65,-20.65,0.4,241452000,-83345000,-177090000,-23828000,98949000,61021000,11.57,17.05,6.09,None,-0.5277,4.62,0.4,None,14.38,None,3.6149,0.1354,None,0.54,0.79,1.0805,TGNA
42,2008-09-28,228116392,228116392,1,13418746000,1345985000,6576704000,1207350000,6606005000,236037000,0,9031735000,3908319000,1637310000,158057000,158057000,0.69,0.69,0.4,238094000,-183558000,-508170000,-454585000,122777000,45990000,18.82,21.67,15.96,-0.2165,-0.116,28.96,0.65,None,13.98,None,0.5916,0.4923,None,0.47,0.84,1.1148,TGNA
43,2008-06-29,228114304,228114304,1,13376096000,1709624000,6713056000,925053000,6644170000,18870000,0,8417844000,4324586000,1717989000,-2290756000,-2290756000,-10.03,-10.03,0.4,199692000,-25941000,237521000,411276000,577362000,29645000,26.27,30.75,21.79,-0.1923,-0.106,29.13,0.66,5.89,13.58,None,0.6509,0.4967,None,0.46,0.75,1.8481,TGNA
44,2008-03-30,228685998,228685998,1,15798160000,1313946000,6720575000,947317000,9058590000,18995000,0,10767262000,3980282000,1676869000,191778000,191778000,0.84,0.84,0.4,337948000,20085000,-269148000,88837000,166086000,28344000,33.72,39.0,28.43,0.1156,0.0649,39.61,0.86,7.46,13.18,0.3361,0.4394,0.5734,0.1431,0.45,1.35,1.3869999999999998,TGNA
45,2007-12-30,229802435,229802435,1,15887727000,1343255000,6850289000,962163000,9017159000,20279000,0,10770404000,4098338000,1827284000,245315000,245315000,1.06,1.05,0.4,483478000,-17332000,-479334000,-13418000,77249000,77694000,40.58,45.85,35.3,0.1195,0.0652,39.24,1.05,8.18,12.78,0.3124,0.4545,0.5676,0.1419,0.46,1.77,1.3961,TGNA
46,2007-09-30,232142110,232142110,1,16058029000,1480908000,7060033000,959086000,8977260000,20736000,0,10881497000,4418446000,1812756000,234024000,234024000,1.01,1.01,0.4,212748000,30384000,-271240000,-27656000,90667000,33737000,49.55,55.4,43.7,0.1342,0.0715,38.67,1.31,9.79,12.38,0.2669,0.4922,0.5591,0.1488,0.48,0.77,1.5441,TGNA
